详情页链接,职位名,公司名,工作地点,薪资,发布时间
https://jobs.51job.com/fuzhou-tjq/110149551.html?s=01&t=0,深度学习工程师,思凯迈（福州）科技有限公司,异地招聘,1.5-2.5万/月,05-01
https://jobs.51job.com/beijing/111745561.html?s=01&t=0,深度学习工程师-北京（暑期实习生）,施耐德电气（中国）有限公司,北京,,05-01
https://jobs.51job.com/beijing/106171336.html?s=01&t=0,深度学习研发实习生,北京魔门塔科技有限公司,北京,,05-01
https://jobs.51job.com/beijing/105387065.html?s=01&t=0,深度学习技术工程师,技术创新中心,北京,,05-01
https://jobs.51job.com/beijing/112511993.html?s=01&t=0,机器学习/深度学习专家,奇虎360科技有限公司,北京,3-4万/月,05-01
https://jobs.51job.com/wuxi/110125950.html?s=01&t=0,深度学习算法工程师,无锡先导智能装备股份有限公司,异地招聘,2-3万/月,05-01
https://jobs.51job.com/beijing-hdq/111302839.html?s=01&t=0,机器/深度学习算法或应用工程师,上海奕见企业管理咨询有限公司,北京-海淀区,4-5万/月,05-01
https://jobs.51job.com/beijing/112348771.html?s=01&t=0,深度学习（图像）算法工程师,方纳企业管理咨询（广州）有限公司,北京,2-3万/月,05-01
https://jobs.51job.com/beijing-cyq/109291113.html?s=01&t=0,111261-深度学习系统研究员,平安科技（深圳）有限公司,北京-朝阳区,1.5千以下/月,05-01
https://jobs.51job.com/beijing/112234837.html?s=01&t=0,阿里妈妈事业部-大规模深度学习引擎-研发专家-北京,阿里巴巴集团,北京,,05-01
https://jobs.51job.com/beijing/97807061.html?s=01&t=0,自然语言处理（深度学习/NLP）,北京捷通华声科技股份有限公司,北京,2-4万/月,04-30
https://jobs.51job.com/beijing/96040432.html?s=01&t=0,深度学习工程师-帝派,北京神州泰岳软件股份有限公司,北京,1-1.5万/月,04-30
https://jobs.51job.com/beijing-hdq/110645847.html?s=01&t=0,深度学习算法工程师（机器视觉方向）,启迪云控(北京)科技有限公司,北京-海淀区,1-2万/月,04-30
https://jobs.51job.com/qingdao-jmq/112740269.html?s=01&t=0,深度学习工程师（外派到青岛）,古莘信息技术（广州）有限公司,异地招聘,1-1.5万/月,04-30
https://jobs.51job.com/beijing-hdq/112576907.html?s=01&t=0,深度学习工程师（应届博士）,凌云光技术集团工业视觉事业部,北京-海淀区,3-5万/月,04-30
https://jobs.51job.com/beijing-dcq/112850629.html?s=01&t=0,深度学习,北京中电易达科技有限公司,北京-东城区,1.5-2.5万/月,04-30
https://jobs.51job.com/beijing/91116849.html?s=01&t=0,计算机视觉/深度学习算法工程师,北京文安智能技术股份有限公司,北京,1.5-2万/月,04-30
https://jobs.51job.com/beijing-xcq/111177179.html?s=01&t=0,深度学习算法研究员,新华网股份有限公司,北京-西城区,2.2-2.9万/月,04-30
https://jobs.51job.com/beijing-hdq/104319062.html?s=01&t=0,智能语音-深度学习平台开发工程师,北京搜狗科技发展有限公司,北京-海淀区,2-5万/月,04-30
https://jobs.51job.com/shanghai-pdxq/111407653.html?s=01&t=0,深度学习数据通路逻辑工程师,上海赛昉科技有限公司,异地招聘,1-5万/月,04-30
https://jobs.51job.com/guangzhou-thq/107013501.html?s=01&t=0,机器视觉工程师（深度学习方向）,广东红橙云大数据有限公司,异地招聘,2-3万/月,04-30
https://jobs.51job.com/beijing-syq/109413151.html?s=01&t=0,深度学习研发工程师,维看科技（北京）有限公司,北京-顺义区,2-2.5万/月,04-29
https://jobs.51job.com/beijing-hdq/109755615.html?s=01&t=0,深度学习,北京风影车讯科技有限公司,北京-海淀区,1.5-2万/月,04-29
https://jobs.51job.com/beijing-syq/111999586.html?s=01&t=0,图像处理及深度学习工程师,航天图景（北京）科技有限公司,北京-顺义区,1.3-1.8万/月,04-29
https://jobs.51job.com/beijing-hdq/103658226.html?s=01&t=0,深度学习算法工程师,北京迪路科技有限公司,北京-海淀区,1.5-3万/月,04-29
https://jobs.51job.com/beijing-cyq/106211986.html?s=01&t=0,深度学习算法工程师,北京盛德信联科技有限公司,北京-朝阳区,1-3万/月,04-29
https://jobs.51job.com/beijing-cyq/101014691.html?s=01&t=0,医疗影像深度学习算法工程师,西安翼展电子科技有限公司,北京-朝阳区,2-4万/月,04-29
https://jobs.51job.com/beijing-cyq/105189489.html?s=01&t=0,深度学习算法工程,北京安德医智科技有限公司,北京-朝阳区,2-3.8万/月,04-29
https://jobs.51job.com/beijing-hdq/104893878.html?s=01&t=0,高性能深度学习库开发工程师 (MJ000018),上海寒武纪信息科技有限公司,北京-海淀区,20-60万/年,04-28
https://jobs.51job.com/beijing/99037386.html?s=01&t=0,深度学习研发工程师,北京文通科技有限公司,北京,1-2万/月,04-28
https://jobs.51job.com/beijing-hdq/110083246.html?s=01&t=0,深度学习算法工程师,北京英泰智科技股份有限公司,北京-海淀区,2.5-3万/月,04-26
https://jobs.51job.com/luoyang/100513871.html?s=01&t=0,深度学习工程师,中国科学院自动化研究所（洛阳）机...,异地招聘,0.7-1.5万/月,04-26
https://jobs.51job.com/beijing/104435600.html?s=01&t=0,00159-深度学习中高级工程师,新浪微博,北京,4-7万/月,04-26
https://jobs.51job.com/beijing-cyq/107074591.html?s=01&t=0,深度学习算法工程师 (MJ000208),北京推想科技有限公司,北京-朝阳区,2-4万/月,04-25
https://jobs.51job.com/beijing/86513677.html?s=01&t=0,图像算法工程师（深度学习）,北京理工雷科电子信息技术有限公司,北京,12-18万/年,04-25
https://jobs.51job.com/dalian-gjzq/109108468.html?s=01&t=0,机器学习/深度学习,上海连世数字技术有限公司大连分公司,异地招聘,1.5-2万/月,04-24
https://jobs.51job.com/beijing/111381634.html?s=01&t=0,深度学习算法工程师,北京合力联创科技有限公司,北京,2-5万/月,04-03
https://jobs.51job.com/beijing-xcq/111957879.html?s=01&t=0,深度学习算法工程师,四川艾科纳网络科技有限公司,北京-西城区,3-4万/月,03-30
https://jobs.51job.com/beijing-cyq/110626733.html?s=01&t=0,深度学习算法工程师,全美测评软件系统（北京）有限公司,北京-朝阳区,1-3万/月,03-29
https://jobs.51job.com/beijing-hdq/111736138.html?s=01&t=0,深度学习算法工程师,中国科学院自动化研究所,北京-海淀区,1-1.5万/月,03-24
https://jobs.51job.com/beijing-hdq/99928550.html?s=01&t=0,深度学习开发工程师,北京心联光电科技有限公司,北京-海淀区,30-40万/年,03-14
https://jobs.51job.com/beijing-cpq/110623935.html?s=01&t=0,00101-深度学习算法研究员,北京智行者科技有限公司,北京-昌平区,3-5万/月,03-12
https://jobs.51job.com/beijing/111236240.html?s=01&t=0,深度学习解决方案架构师,英伟达半导体（上海）有限公司(NV...,北京,,03-11
https://jobs.51job.com/beijing-hdq/110381563.html?s=01&t=0,深度学习算法工程师,北京彩云环太平洋科技有限公司,北京-海淀区,1.5-2.8万/月,03-01
https://jobs.51job.com/beijing-cyq/113109264.html?s=01&t=0,气象算法工程师(J10554),朗新科技股份有限公司,北京-朝阳区,1-1.5万/月,05-01
https://jobs.51job.com/beijing/108676596.html?s=01&t=0,普惠金融数据工程师,中航信托股份有限公司,北京,,05-01
